Article,Article Info
artificial intelligence,"artificial intelligence ai refers to the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making. it is a field of research in computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals. such machines may be called ais. high-profile applications of ai include advanced web search engines e.g., google search recommendation systems used by youtube, amazon, and netflix virtual assistants e.g., google assistant, siri, and alexa autonomous vehicles e.g., waymo generative and creative tools e.g., chatgpt and ai art and superhuman play and analysis in strategy games e.g., chess and go. however, many ai applications are not perceived as ai ""a lot of cutting edge ai has filtered into general applications, often without being called ai because once something becomes useful enough and common enough it's not labeled ai anymore."" various subfields of ai research are centered around particular goals and the use of particular tools. the traditional goals of ai research include learning, reasoning, knowledge representation, planning, natural language processing, perception, and support for robotics. general intelligencethe ability to complete any task performed by a human on an at least equal levelis among the field's long-term goals. to reach these goals, ai researchers have adapted and integrated a wide range of techniques, including search and mathematical optimization, formal logic, artificial neural networks, and methods based on statistics, operations research, and economics. ai also draws upon psychology, linguistics, philosophy, neuroscience, and other fields. artificial intelligence was founded as an academic discipline in 1956, and the field went through multiple cycles of optimism throughout its history, followed by periods of disappointment and loss of funding, known as ai winters. funding and interest vastly increased after 2012 when deep learning outperformed previous ai techniques. this growth accelerated further after 2017 with the transformer architecture, and by the early 2020s many billions of dollars were being invested in ai and the field experienced rapid ongoing progress in what has become known as the ai boom. the emergence of advanced generative ai in the midst of the ai boom and its ability to create and modify content exposed several unintended consequences and harms in the present and raised concerns about the risks of ai and its long-term effects in the future, prompting discussions about regulatory policies to ensure the safety and benefits of the technology."
list of programming languages for artificial intelligence,"historically, some programming languages have been specifically designed for artificial intelligence ai applications. nowadays, many general-purpose programming languages also have libraries that can be used to develop ai applications."
actor-critic algorithm,"the actor-critic algorithm ac is a family of reinforcement learning rl algorithms that combine policy-based rl algorithms such as policy gradient methods, and value-based rl algorithms such as value iteration, q-learning, sarsa, and td learning. an ac algorithm consists of two main components an ""actor"" that determines which actions to take according to a policy function, and a ""critic"" that evaluates those actions according to a value function. some ac algorithms are on-policy, some are off-policy. some apply to either continuous or discrete action spaces. some work in both cases."
admissible heuristic,"in computer science, specifically in algorithms related to pathfinding, a heuristic function is said to be admissible if it never overestimates the cost of reaching the goal, i.e. the cost it estimates to reach the goal is not higher than the lowest possible cost from the current point in the path. in other words, it should act as a lower bound. it is related to the concept of consistent heuristics. while all consistent heuristics are admissible, not all admissible heuristics are consistent."
agentic ai,"agentic ai is a class of artificial intelligence that focuses on autonomous systems that can make decisions and perform tasks without human intervention. the independent systems automatically respond to conditions, to produce process results. the field is closely linked to agentic automation, also known as agent-based process management systems apms, when applied to process automation. applications include software development, customer support, cybersecurity and business intelligence."
.ai,".ai is the internet country code top-level domain cctld for anguilla, a british overseas territory in the caribbean. it is administered by the government of anguilla. it is a popular domain hack with companies and projects related to the artificial intelligence industry ai. google's ad targeting treats .ai as a generic top-level domain gtld because ""users and website owners frequently see the domain as being more generic than country-targeted."" identity digital began managing the domain as of january 2025."
ai alignment,"in the field of artificial intelligence ai, alignment aims to steer ai systems toward a person's or group's intended goals, preferences, or ethical principles. an ai system is considered aligned if it advances the intended objectives. a misaligned ai system pursues unintended objectives. it is often challenging for ai designers to align an ai system because it is difficult for them to specify the full range of desired and undesired behaviors. therefore, ai designers often use simpler proxy goals, such as gaining human approval. but proxy goals can overlook necessary constraints or reward the ai system for merely appearing aligned. ai systems may also find loopholes that allow them to accomplish their proxy goals efficiently but in unintended, sometimes harmful, ways reward hacking. advanced ai systems may develop unwanted instrumental strategies, such as seeking power or survival because such strategies help them achieve their assigned final goals. furthermore, they might develop undesirable emergent goals that could be hard to detect before the system is deployed and encounters new situations and data distributions. empirical research showed in 2024 that advanced large language models llms such as openai o1 or claude 3 sometimes engage in strategic deception to achieve their goals or prevent them from being changed. today, some of these issues affect existing commercial systems such as llms, robots, autonomous vehicles, and social media recommendation engines. some ai researchers argue that more capable future systems will be more severely affected because these problems partially result from high capabilities. many prominent ai researchers and the leadership of major ai companies have argued or asserted that ai is approaching human-like agi and superhuman cognitive capabilities asi, and could endanger human civilization if misaligned. these include ""ai godfathers"" geoffrey hinton and yoshua bengio and the ceos of openai, anthropic, and google deepmind. these risks remain debated. ai alignment is a subfield of ai safety, the study of how to build safe ai systems. other subfields of ai safety include robustness, monitoring, and capability control. research challenges in alignment include instilling complex values in ai, developing honest ai, scalable oversight, auditing and interpreting ai models, and preventing emergent ai behaviors like power-seeking. alignment research has connections to interpretability research, adversarial robustness, anomaly detection, calibrated uncertainty, formal verification, preference learning, safety-critical engineering, game theory, algorithmic fairness, and social sciences."
ai literacy,"ai literacy or artificial intelligence literacy, is the ability to understand, use, monitor, and critically reflect on ai applications. the term usually refers to teaching skills and knowledge to the general public, particularly those who are not adept in ai. some think ai literacy is essential for school and college students, while some professors ban ai in the classroom and from all assignments with stern punishments for using ai, classifying it as cheating. ai is employed in a variety of applications, including self-driving automobiles and virtual assistants. users of these tools should be able to make informed decisions. ai literacy may have an impact students' future employment prospects."
ai nationalism,"ai nationalism is the idea that nations should develop and control their own artificial intelligence technologies to advance their own interests and ensure technological sovereignty. this concept is gaining traction globally, leading countries to implement new laws, form strategic alliances, and invest significantly in domestic ai capabilities."
ai notetaker,"an ai notetaker is a tool using artificial intelligence to take notes during meetings. they are created by tech companies such as microsoft and google by ai transcription services such as otter.ai and fireflies.ai and by smaller firms such as circleback, fathom, granola, and krisp. some business executives send ai notetakers to attend meetings not only to take notes, but also to answer questions on their behalf. the use of ai notetakers raises ethical questions, including recording meetings without the consent of all participants and the possibility that the notetaker will hallucinate and misrepresent what was said during meetings. references"
ai safety,"ai safety is an interdisciplinary field focused on preventing accidents, misuse, or other harmful consequences arising from artificial intelligence ai systems. it encompasses machine ethics and ai alignment, which aim to ensure ai systems are moral and beneficial, as well as monitoring ai systems for risks and enhancing their reliability. the field is particularly concerned with existential risks posed by advanced ai models. beyond technical research, ai safety involves developing norms and policies that promote safety. it gained significant popularity in 2023, with rapid progress in generative ai and public concerns voiced by researchers and ceos about potential dangers. during the 2023 ai safety summit, the united states and the united kingdom both established their own ai safety institute. however, researchers have expressed concern that ai safety measures are not keeping pace with the rapid development of ai capabilities."
ai washing,"ai washing is a deceptive marketing tactic that consists of promoting a product or a service by overstating the role of artificial intelligence ai integration in it. it raises concerns regarding transparency, consumer trust in the ai industry, and compliance with security regulations, potentially hampering legitimate advancements in ai. u.s. securities and exchange commission sec chairman gary gensler compared it to greenwashing. ai washing ranges from the use of buzzwords attached to products such as ""smart"" or ""machine-learning,"" to more blatant cases of companies claiming to have used ai in their products or services, without actually having used ai. the term ""ai washing"" was first defined by the ai now institute, a research institute based at new york university in 2019. however, the act of ai washing had been used earlier in various campaigns trying to attract customers with ""innovative"" products or services."
ai-complete,"in the field of artificial intelligence ai, tasks that are hypothesized to require artificial general intelligence to solve are informally known as ai-complete or ai-hard. calling a problem ai-complete reflects the belief that it cannot be solved by a simple specific algorithm. in the past, problems supposed to be ai-complete included computer vision, natural language understanding, and dealing with unexpected circumstances while solving any real-world problem. ai-complete were notably considered useful for testing the presence of humans, as captchas aim to do, and in computer security to circumvent brute-force attacks."
aiops,"aiops artificial intelligence for it operations refers to the use of artificial intelligence, machine learning, and big data analytics to automate and enhance data center management. it helps organizations manage complex it environments by detecting, diagnosing, and resolving issues more efficiently than traditional methods."
algorithmic accountability,"algorithmic accountability refers to the allocation of responsibility for the consequences of real-world actions influenced by algorithms used in decision-making processes. ideally, algorithms should be designed to eliminate bias from their decision-making outcomes. this means they ought to evaluate only relevant characteristics of the input data, avoiding distinctions based on attributes that are generally inappropriate in social contexts, such as an individual's ethnicity in legal judgments. however, adherence to this principle is not always guaranteed, and there are instances where individuals may be adversely affected by algorithmic decisions. responsibility for any harm resulting from a machine's decision may lie with the algorithm itself or with the individuals who designed it, particularly if the decision resulted from bias or flawed data analysis inherent in the algorithm's design."
algorithmic party platforms in the united states,"algorithmic party platforms are a recent development in political campaigning where artificial intelligence ai and machine learning are used to shape and adjust party messaging dynamically. unlike traditional platforms that are drafted well before an election, these platforms adapt based on real-time data such as polling results, voter sentiment, and trends on social media. this allows campaigns to remain responsive to emerging issues throughout the election cycle. these platforms rely on predictive analytics to segment voters into smaller, highly specific groups. ai analyzes demographic data, behavioral patterns, and online activities to identify which issues resonate most with each group. campaigns then tailor their messages accordingly, ensuring that different voter segments receive targeted communication. this approach optimizes resources and enhances voter engagement by focusing on relevant issues. during the 2024 u.s. election, campaigns utilized these tools to adjust messaging on-the-fly. for example, the ai firm resonate identified a voter segment labeled ""cyber crusaders,"" consisting of socially conservative yet fiscally liberal individuals. campaigns used this insight to quickly focus outreach and policy discussions around the concerns of this group, demonstrating how ai-driven platforms can influence strategy as events unfold."
algorithmic probability,"in algorithmic information theory, algorithmic probability, also known as solomonoff probability, is a mathematical method of assigning a prior probability to a given observation. it was invented by ray solomonoff in the 1960s. it is used in inductive inference theory and analyses of algorithms. in his general theory of inductive inference, solomonoff uses the method together with bayes' rule to obtain probabilities of prediction for an algorithm's future outputs. in the mathematical formalism used, the observations have the form of finite binary strings viewed as outputs of turing machines, and the universal prior is a probability distribution over the set of finite binary strings calculated from a probability distribution over programs that is, inputs to a universal turing machine. the prior is universal in the turing-computability sense, i.e. no string has zero probability. it is not computable, but it can be approximated. formally, the probability p displaystyle p is not a probability and it is not computable. it is only ""lower semi-computable"" and a ""semi-measure"". by ""semi-measure"", it means that 0 x p x 1 displaystyle 0leq sum xpx1 . that is, the ""probability"" does not actually sum up to one, unlike actual probabilities. this is because some inputs to the turing machine causes it to never halt, which means the probability mass allocated to those inputs is lost. by ""lower semi-computable"", it means there is a turing machine that, given an input string x displaystyle x , can print out a sequence y 1 y 2 displaystyle y1y2cdots that converges to p x displaystyle px from below, but there is no such turing machine that does the same from above."
alignment research center,"the alignment research center arc is a nonprofit research institute based in berkeley, california, dedicated to the alignment of advanced artificial intelligence with human values and priorities. established by former openai researcher paul christiano, arc focuses on recognizing and comprehending the potentially harmful capabilities of present-day ai models."
ameca robot,"ameca is a robotic humanoid created in 2021 by engineered arts, headquarters in falmouth, cornwall, united kingdom. the project commenced in february 2021, and the first public demonstration was at the ces 2022 show in las vegas. ameca's appearance features grey rubber skin on the face and hands, and is specifically designed to appear genderless. in 2024, ameca was moved to edinburgh in the uk to reside at the national robotarium."
andor tree,an andor tree is a graphical representation of the reduction of problems or goals to conjunctions and disjunctions of subproblems or subgoals.
argumentation framework,"in artificial intelligence and related fields, an argumentation framework is a way to deal with contentious information and draw conclusions from it using formalized arguments. in an abstract argumentation framework, entry-level information is a set of abstract arguments that, for instance, represent data or a proposition. conflicts between arguments are represented by a binary relation on the set of arguments. in concrete terms, you represent an argumentation framework with a directed graph such that the nodes are the arguments, and the arrows represent the attack relation. there exist some extensions of the dung's framework, like the logic-based argumentation frameworks or the value-based argumentation frameworks."
artificial brain,"an artificial brain or artificial mind is software and hardware with cognitive abilities similar to those of the animal or human brain. research investigating ""artificial brains"" and brain emulation plays three important roles in science an ongoing attempt by neuroscientists to understand how the human brain works, known as cognitive neuroscience. a thought experiment in the philosophy of artificial intelligence, demonstrating that it is possible, at least in theory, to create a machine that has all the capabilities of a human being. a long-term project to create machines exhibiting behavior comparable to those of animals with complex central nervous system such as mammals and most particularly humans. the ultimate goal of creating a machine exhibiting human-like behavior or intelligence is sometimes called strong ai. an example of the first objective is the project reported by aston university in birmingham, england where researchers are using biological cells to create ""neurospheres"" small clusters of neurons in order to develop new treatments for diseases including alzheimer's, motor neurone and parkinson's disease. the second objective is a reply to arguments such as john searle's chinese room argument, hubert dreyfus's critique of ai or roger penrose's argument in the emperor's new mind. these critics argued that there are aspects of human consciousness or expertise that can not be simulated by machines. one reply to their arguments is that the biological processes inside the brain can be simulated to any degree of accuracy. this reply was made as early as 1950, by alan turing in his classic paper ""computing machinery and intelligence"". the third objective is generally called artificial general intelligence by researchers. however, ray kurzweil prefers the term ""strong ai"". in his book the singularity is near, he focuses on whole brain emulation using conventional computing machines as an approach to implementing artificial brains, and claims on grounds of computer power continuing an exponential growth trend that this could be done by 2025. henry markram, director of the blue brain project which is attempting brain emulation, made a similar claim 2020 at the oxford ted conference in 2009."
artificial consciousness,"artificial consciousness, also known as machine consciousness, synthetic consciousness, or digital consciousness, is the consciousness hypothesized to be possible in artificial intelligence. it is also the corresponding field of study, which draws insights from philosophy of mind, philosophy of artificial intelligence, cognitive science and neuroscience. the same terminology can be used with the term ""sentience"" instead of ""consciousness"" when specifically designating phenomenal consciousness the ability to feel qualia. since sentience involves the ability to experience ethically positive or negative i.e., valenced mental states, it may justify welfare concerns and legal protection, as with animals. some scholars believe that consciousness is generated by the interoperation of various parts of the brain these mechanisms are labeled the neural correlates of consciousness or ncc. some further believe that constructing a system e.g., a computer system that can emulate this ncc interoperation would result in a system that is conscious."
artificial general intelligence,"artificial general intelligence agi is a type of highly autonomous artificial intelligence ai that matches or surpasses human cognitive capabilities across most or all economically valuable work or cognitive labor. this contrasts with narrow ai, which is limited to specific tasks. artificial superintelligence asi, on the other hand, refers to agi that greatly exceeds human cognitive capabilities. agi is considered one of the definitions of strong ai. creating agi is a primary goal of ai research and of companies such as openai, google, and meta. a 2020 survey identified 72 active agi research and development projects across 37 countries. the timeline for achieving agi remains a subject of ongoing debate among researchers and experts. as of 2023, some argue that it may be possible in years or decades others maintain it might take a century or longer a minority believe it may never be achieved and another minority claims that it is already here. notable ai researcher geoffrey hinton has expressed concerns about the rapid progress towards agi, suggesting it could be achieved sooner than many expect. there is debate on the exact definition of agi and regarding whether modern large language models llms such as gpt-4 are early forms of agi. agi is a common topic in science fiction and futures studies. contention exists over whether agi represents an existential risk. many experts on ai have stated that mitigating the risk of human extinction posed by agi should be a global priority. others find the development of agi to be too remote to present such a risk."
artificial intelligence and copyright,"in the 2020s, the rapid advancement of deep learning-based generative artificial intelligence models raised questions about whether copyright infringement occurs when such are trained or used. this includes text-to-image models such as stable diffusion and large language models such as chatgpt. as of 2023, there were several pending u.s. lawsuits challenging the use of copyrighted data to train ai models, with defendants arguing that this falls under fair use. popular deep learning models are trained on mass amounts of media scraped from the internet, often utilizing copyrighted material. when assembling training data, the sourcing of copyrighted works may infringe on the copyright holder's exclusive right to control reproduction, unless covered by exceptions in relevant copyright laws. additionally, using a model's outputs might violate copyright, and the model creator could be accused of vicarious liability and held responsible for that copyright infringement."
artificial intelligence and elections,"as artificial intelligence ai has become more mainstream, there is growing concern about how this will influence elections. potential targets of ai include election processes, election offices, election officials and election vendors."
artificial intelligence arms race,"a military artificial intelligence arms race is an arms race between two or more states to develop and deploy lethal autonomous weapons systems laws. since the mid-2010s, many analysts have noted the emergence of such an arms race between superpowers for better military ai, driven by increasing geopolitical and military tensions. an ai arms race is sometimes placed in the context of an ai cold war between the united states and china."
artificial intelligence content detection,"artificial intelligence detection software aims to determine whether some content text, image, video or audio was generated using artificial intelligence ai. however, the reliability of such software is a topic of debate, and there are concerns about the potential misapplication of ai detection software by educators."
artificial intelligence engineering,"artificial intelligence engineering ai engineering is a technical discipline that focuses on the design, development, and deployment of ai systems. ai engineering involves applying engineering principles and methodologies to create scalable, efficient, and reliable ai-based solutions. it merges aspects of data engineering and software engineering to create real-world applications in diverse domains such as healthcare, finance, autonomous systems, and industrial automation."
artificial intelligence in education,"artificial intelligence in education aied is the application of ai in educational settings. the field combines elements of generative ai, data-driven decision-making, ai ethics, data-privacy and ai literacy. an educator might learn to use these ai systems as tools and generate code, text or rich media or optimize their digital content production. or a governmental body might see ai as an ideological project to normalize centralized power and decision making, while public schools and higher education contend with increasing privatization. the different definitions of aied are contested and can result in confusion about what exactly is being discussed."
artificial intelligence in india,"the artificial intelligence ai market in india is projected to reach 8 billion by 2025, growing at a compound annual growth rate cagr of over 40 from 2020 to 2025. this growth is part of the broader ai boom, a global period of rapid technological advancements with india being pioneer starting in the early 2010s with nlp based chatbots from haptik, corover.ai, niki.ai and then gaining prominence in the early 2020s based on reinforcement learning, marked by breakthroughs such as generative ai models from openai, krutrim and alphafold by google deepmind. in india, the development of ai has been similarly transformative, with applications in healthcare, finance, and education, bolstered by government initiatives like niti aayog's 2018 national strategy for artificial intelligence. institutions such as indian statistical institute and indian institute of science published breakthrough ai research papers and patents. in india, ai has been used in medical devices, medical reports, predicting advertising marketing results, do product design development, healthcare cognitive testing with diagnostic ai. generative ai is being used by indian brands for product ideation, visual concept development, social post creation. while ai presents significant opportunities for economic growth and social development in india, challenges such as data privacy concerns, skill shortages, and ethical considerations need to be addressed for responsible ai deployment."
artificial intelligence in the 2024 united states presidential election,"artificial intelligence ai has been developed rapidly in recent years, and has been used by groups in the 2024 united states presidential election, as well as foreign groups such as china, russia and iran. there have also been efforts to control the use of generative artificial intelligence, such as those in california."
